posts,move,half_life_h
46,0.14,1.9565
48,0.14,1.875
50,0.14,1.8
52,0.14,1.7308
54,0.14,1.6667
56,0.14,1.6071
58,0.14,1.5517
60,0.14,1.5
0,0.15,2.0
2,0.15,2.0
4,0.15,2.0
6,0.15,2.0
8,0.15,2.0
10,0.15,2.0
12,0.15,2.0
14,0.15,2.0
16,0.15,2.0
18,0.15,2.0
20,0.15,2.0
22,0.15,2.0
24,0.15,2.0
26,0.15,2.0
28,0.15,2.0
30,0.15,2.0
32,0.15,2.0
34,0.15,2.0
36,0.15,2.0
38,0.15,2.0
40,0.15,2.0
42,0.15,2.0
44,0.15,2.0
46,0.15,1.9565
48,0.15,1.875
50,0.15,1.8
52,0.15,1.7308
54,0.15,1.6667
56,0.15,1.6071
58,0.15,1.5517
60,0.15,1.5
0,0.16,1.875
2,0.16,1.875
4,0.16,1.875
6,0.16,1.875
8,0.16,1.875
10,0.16,1.875
12,0.16,1.875
14,0.16,1.875
16,0.16,1.875
18,0.16,1.875
20,0.16,1.875
22,0.16,1.875
24,0.16,1.875
26,0.16,1.875
28,0.16,1.875
30,0.16,1.875
32,0.16,1.875
34,0.16,1.875
36,0.16,1.875
38,0.16,1.875
40,0.16,1.875
42,0.16,1.875
44,0.16,1.875
46,0.16,1.875
48,0.16,1.875
50,0.16,1.8
52,0.16,1.7308
54,0.16,1.6667
56,0.16,1.6071
58,0.16,1.5517
60,0.16,1.5
0,0.17,1.7647
2,0.17,1.7647
4,0.17,1.7647
6,0.17,1.7647
8,0.17,1.7647
10,0.17,1.7647
12,0.17,1.7647
14,0.17,1.7647
16,0.17,1.7647
18,0.17,1.7647
20,0.17,1.7647
22,0.17,1.7647
24,0.17,1.7647
26,0.17,1.7647
28,0.17,1.7647
30,0.17,1.7647
32,0.17,1.7647
34,0.17,1.7647
36,0.17,1.7647
38,0.17,1.7647
40,0.17,1.7647
42,0.17,1.7647
44,0.17,1.7647
46,0.17,1.7647
48,0.17,1.7647
50,0.17,1.7647
52,0.17,1.7308
54,0.17,1.6667
56,0.17,1.6071
58,0.17,1.5517
60,0.17,1.5
0,0.18,1.6667
2,0.18,1.6667
4,0.18,1.6667
6,0.18,1.6667
8,0.18,1.6667
10,0.18,1.6667
12,0.18,1.6667
14,0.18,1.6667
16,0.18,1.6667
18,0.18,1.6667
20,0.18,1.6667
22,0.18,1.6667
24,0.18,1.6667
26,0.18,1.6667
28,0.18,1.6667
30,0.18,1.6667
32,0.18,1.6667
34,0.18,1.6667
36,0.18,1.6667
38,0.18,1.6667
40,0.18,1.6667
42,0.18,1.6667
44,0.18,1.6667
46,0.18,1.6667
48,0.18,1.6667
50,0.18,1.6667
52,0.18,1.6667
54,0.18,1.6667
56,0.18,1.6071
58,0.18,1.5517
60,0.18,1.5
0,0.19,1.5789
2,0.19,1.5789
4,0.19,1.5789
6,0.19,1.5789
8,0.19,1.5789
10,0.19,1.5789
12,0.19,1.5789
14,0.19,1.5789
16,0.19,1.5789
18,0.19,1.5789
20,0.19,1.5789
22,0.19,1.5789
24,0.19,1.5789
26,0.19,1.5789
28,0.19,1.5789
30,0.19,1.5789
32,0.19,1.5789
34,0.19,1.5789
36,0.19,1.5789
38,0.19,1.5789
40,0.19,1.5789
42,0.19,1.5789
44,0.19,1.5789
46,0.19,1.5789
48,0.19,1.5789
50,0.19,1.5789
52,0.19,1.5789
54,0.19,1.5789
56,0.19,1.5789
58,0.19,1.5517
60,0.19,1.5
0,0.2,1.5
2,0.2,1.5
4,0.2,1.5
6,0.2,1.5
8,0.2,1.5
10,0.2,1.5
12,0.2,1.5
14,0.2,1.5
16,0.2,1.5
18,0.2,1.5
20,0.2,1.5
22,0.2,1.5
24,0.2,1.5
26,0.2,1.5
28,0.2,1.5
30,0.2,1.5
32,0.2,1.5
34,0.2,1.5
36,0.2,1.5
38,0.2,1.5
40,0.2,1.5
42,0.2,1.5
44,0.2,1.5
46,0.2,1.5
48,0.2,1.5
50,0.2,1.5
52,0.2,1.5
54,0.2,1.5
56,0.2,1.5
58,0.2,1.5
60,0.2,1.5
0,0.21,1.4286
2,0.21,1.4286
4,0.21,1.4286
6,0.21,1.4286
8,0.21,1.4286
10,0.21,1.4286
12,0.21,1.4286
14,0.21,1.4286
16,0.21,1.4286
18,0.21,1.4286
20,0.21,1.4286
22,0.21,1.4286
24,0.21,1.4286
26,0.21,1.4286
28,0.21,1.4286
30,0.21,1.4286
32,0.21,1.4286
34,0.21,1.4286
36,0.21,1.4286
38,0.21,1.4286
40,0.21,1.4286
42,0.21,1.4286
44,0.21,1.4286
46,0.21,1.4286
48,0.21,1.4286
50,0.21,1.4286
52,0.21,1.4286
54,0.21,1.4286
56,0.21,1.4286
58,0.21,1.4286
60,0.21,1.4286
0,0.22,1.3636
2,0.22,1.3636
4,0.22,1.3636
6,0.22,1.3636
8,0.22,1.3636
10,0.22,1.3636
12,0.22,1.3636
14,0.22,1.3636
16,0.22,1.3636
18,0.22,1.3636
20,0.22,1.3636
22,0.22,1.3636
24,0.22,1.3636
26,0.22,1.3636
28,0.22,1.3636
30,0.22,1.3636
32,0.22,1.3636
34,0.22,1.3636
36,0.22,1.3636
38,0.22,1.3636
40,0.22,1.3636
42,0.22,1.3636
44,0.22,1.3636
46,0.22,1.3636
48,0.22,1.3636
50,0.22,1.3636
52,0.22,1.3636
54,0.22,1.3636
56,0.22,1.3636
58,0.22,1.3636
60,0.22,1.3636
0,0.23,1.3043
2,0.23,1.3043
4,0.23,1.3043
6,0.23,1.3043
8,0.23,1.3043
10,0.23,1.3043
12,0.23,1.3043
14,0.23,1.3043
16,0.23,1.3043
18,0.23,1.3043
20,0.23,1.3043
22,0.23,1.3043
24,0.23,1.3043
26,0.23,1.3043
28,0.23,1.3043
30,0.23,1.3043
32,0.23,1.3043
34,0.23,1.3043
36,0.23,1.3043
38,0.23,1.3043
40,0.23,1.3043
42,0.23,1.3043
44,0.23,1.3043
46,0.23,1.3043
48,0.23,1.3043
50,0.23,1.3043
52,0.23,1.3043
54,0.23,1.3043
56,0.23,1.3043
58,0.23,1.3043
60,0.23,1.3043
0,0.24,1.25
2,0.24,1.25
4,0.24,1.25
6,0.24,1.25
8,0.24,1.25
10,0.24,1.25
12,0.24,1.25
14,0.24,1.25
16,0.24,1.25
18,0.24,1.25
20,0.24,1.25
22,0.24,1.25
24,0.24,1.25
26,0.24,1.25
28,0.24,1.25
30,0.24,1.25
32,0.24,1.25
34,0.24,1.25
36,0.24,1.25
38,0.24,1.25
40,0.24,1.25
42,0.24,1.25
44,0.24,1.25
46,0.24,1.25
48,0.24,1.25
50,0.24,1.25
52,0.24,1.25
54,0.24,1.25
56,0.24,1.25
58,0.24,1.25
60,0.24,1.25
0,0.25,1.2
2,0.25,1.2
4,0.25,1.2
6,0.25,1.2
8,0.25,1.2
10,0.25,1.2
12,0.25,1.2
14,0.25,1.2
16,0.25,1.2
18,0.25,1.2
20,0.25,1.2
22,0.25,1.2
24,0.25,1.2
26,0.25,1.2
28,0.25,1.2
30,0.25,1.2
32,0.25,1.2
34,0.25,1.2
36,0.25,1.2
38,0.25,1.2
40,0.25,1.2
42,0.25,1.2
44,0.25,1.2
46,0.25,1.2
48,0.25,1.2
50,0.25,1.2
52,0.25,1.2
54,0.25,1.2
56,0.25,1.2
58,0.25,1.2
60,0.25,1.2
